Id,OrderId,ProductId,UnitPrice,Quantity
1,1,11,14.00,12
2,1,42,9.80,10
3,1,72,34.80,5
4,2,14,18.60,9
5,2,51,42.40,40
6,3,41,7.70,10
7,3,51,42.40,35
8,3,65,16.80,15
9,4,22,16.80,6
10,4,57,15.60,15
11,4,65,16.80,20
12,5,20,64.80,40
13,5,33,2.00,25
14,5,60,27.20,40
15,6,31,10.00,20
16,6,39,14.40,42
17,6,49,16.00,40
18,7,24,3.60,15
19,7,55,19.20,21
20,7,74,8.00,21
21,8,2,15.20,20
22,8,16,13.90,35
23,8,36,15.20,25
24,8,59,44.00,30
25,9,53,26.20,15
26,9,77,10.40,12
27,10,27,35.10,25
28,10,39,14.40,6
29,10,77,10.40,15
30,11,2,15.20,50
31,11,5,17.00,65
32,11,32,25.60,6
33,12,21,8.00,10
34,12,37,20.80,1
35,13,41,7.70,16
36,13,57,15.60,50
37,13,62,39.40,15
38,13,70,12.00,21
39,14,21,8.00,20
40,14,35,14.40,20
41,15,5,17.00,12
42,15,7,24.00,15
43,15,56,30.40,2
44,16,16,13.90,60
45,16,24,3.60,28
46,16,30,20.70,60
47,16,74,8.00,36
48,17,2,15.20,35
49,17,41,7.70,25
50,18,17,31.20,30
51,18,70,12.00,20
52,19,12,30.40,12
53,20,40,14.70,50
54,20,59,44.00,70
55,20,76,14.40,15
56,21,29,99.00,10
57,21,72,27.80,4
58,22,33,2.00,60
59,22,72,27.80,20
60,23,36,15.20,30
61,23,43,36.80,25
62,24,33,2.00,24
63,25,20,64.80,6
64,25,31,10.00,40
65,25,72,27.80,24
66,26,10,24.80,24
67,26,31,10.00,15
68,26,33,2.00,20
69,26,40,14.70,60
70,26,76,14.40,33
71,27,71,17.20,20
72,27,72,27.80,7
73,28,24,3.60,12
74,28,59,44.00,6
75,29,10,24.80,15
76,29,13,4.80,10
77,30,28,36.40,20
78,30,62,39.40,12
79,31,44,15.50,16
80,31,59,44.00,15
81,31,63,35.10,8
82,31,73,12.00,25
83,32,17,31.20,15
84,33,24,3.60,12
85,33,55,19.20,20
86,33,75,6.20,30
87,34,19,7.30,1
88,34,24,3.60,6
89,34,35,14.40,4
90,35,30,20.70,6
91,35,57,15.60,2
92,36,15,12.40,20
93,36,19,7.30,18
94,36,60,27.20,35
95,36,72,27.80,3
96,37,27,35.10,15
97,37,44,15.50,21
98,37,60,27.20,20
99,37,67,11.20,5
100,38,1,14.40,45
101,38,40,14.70,40
102,38,53,26.20,36
103,39,35,14.40,100
104,39,62,39.40,40
105,40,16,13.90,40
106,40,34,11.20,20
107,40,46,9.60,15
108,41,54,5.90,10
109,41,68,10.00,3
110,42,3,8.00,30
111,42,64,26.60,9
112,43,5,17.00,20
113,43,29,99.00,15
114,43,49,16.00,15
115,43,77,10.40,10
116,44,13,4.80,20
117,44,44,15.50,24
118,44,51,42.40,2
119,45,20,64.80,20
120,46,18,50.00,12
121,46,24,3.60,10
122,46,63,35.10,5
123,46,75,6.20,6
124,47,1,14.40,18
125,47,17,31.20,15
126,47,43,36.80,15
127,47,60,27.20,21
128,47,75,6.20,6
129,48,56,30.40,4
130,49,11,16.80,12
131,49,16,13.90,30
132,49,69,28.80,15
133,50,39,14.40,60
134,50,72,27.80,20
135,51,2,15.20,40
136,51,36,15.20,40
137,51,59,44.00,30
138,51,62,39.40,15
139,52,19,7.30,15
140,52,70,12.00,20
141,53,66,13.60,30
142,53,68,10.00,20
143,54,40,14.70,10
144,54,56,30.40,20
145,55,17,31.20,40
146,55,28,36.40,28
147,55,43,36.80,12
148,56,40,14.70,40
149,56,65,16.80,30
150,56,68,10.00,15
151,57,49,16.00,30
152,57,59,44.00,10
153,57,71,17.20,2
154,58,18,50.00,25
155,58,29,99.00,25
156,58,39,14.40,30
157,59,30,20.70,10
158,59,53,26.20,10
159,59,54,5.90,5
160,60,62,39.40,10
161,60,68,10.00,3
162,61,69,28.80,1
163,61,70,12.00,5
164,62,4,17.60,20
165,62,6,20.00,30
166,62,42,11.20,2
167,62,43,36.80,20
168,62,71,17.20,3
169,63,16,13.90,10
170,63,62,39.40,5
171,64,42,11.20,6
172,64,69,28.80,7
173,65,28,36.40,4
174,65,43,36.80,24
175,65,53,26.20,20
176,65,75,6.20,10
177,66,36,15.20,12
178,67,32,25.60,40
179,67,58,10.60,30
180,67,62,39.40,25
181,68,34,11.20,14
182,68,70,12.00,30
183,69,41,7.70,10
184,69,62,39.40,70
185,70,1,14.40,20
186,71,41,7.70,20
187,71,76,14.40,6
188,72,17,31.20,8
189,72,28,36.40,14
190,72,76,14.40,30
191,73,71,17.20,30
192,74,35,14.40,10
193,75,52,5.60,20
194,76,15,12.40,5
195,76,25,11.20,4
196,76,39,14.40,4
197,77,16,13.90,21
198,77,35,14.40,70
199,77,46,9.60,30
200,77,59,44.00,40
201,77,63,35.10,80
202,78,6,20.00,6
203,78,13,4.80,12
204,78,14,18.60,9
205,78,31,10.00,4
206,78,72,27.80,40
207,79,4,17.60,24
208,79,57,15.60,16
209,79,75,6.20,50
210,80,2,15.20,25
211,80,11,16.80,50
212,80,30,20.70,35
213,80,58,10.60,30
214,81,59,44.00,9
215,81,65,16.80,40
216,81,68,10.00,10
217,82,19,7.30,10
218,82,30,20.70,8
219,82,38,210.80,20
220,82,56,30.40,12
221,83,26,24.90,50
222,83,72,27.80,25
223,84,54,5.90,15
224,85,18,50.00,40
225,85,42,11.20,10
226,85,47,7.60,16
227,86,14,18.60,10
228,86,21,8.00,10
229,86,71,17.20,40
230,87,52,5.60,8
231,87,68,10.00,10
232,88,2,15.20,7
233,88,31,10.00,25
234,88,32,25.60,6
235,88,51,42.40,48
236,89,4,17.60,18
237,90,23,7.20,40
238,90,26,24.90,24
239,90,36,15.20,20
