Id,OrderDate,CustomerId,TotalAmount,OrderNumber
1,"2012-07-04",85,440.00,"542378"
2,"2012-07-05",79,1863.40,"542379"
3,"2012-07-08",34,1813.00,"542380"
4,"2012-07-08",84,670.80,"542381"
5,"2012-07-09",76,3730.00,"542382"
6,"2012-07-10",34,1444.80,"542383"
7,"2012-07-11",14,625.20,"542384"
8,"2012-07-12",68,2490.50,"542385"
9,"2012-07-15",88,517.80,"542386"
10,"2012-07-16",35,1119.90,"542387"
11,"2012-07-17",20,2018.60,"542388"
12,"2012-07-18",13,100.80,"542389"
13,"2012-07-19",56,1746.20,"542390"
14,"2012-07-19",61,448.00,"542391"
15,"2012-07-22",65,624.80,"542392"
16,"2012-07-23",20,2464.80,"542393"
17,"2012-07-24",24,724.50,"542394"
18,"2012-07-25",7,1176.00,"542395"
19,"2012-07-26",87,364.80,"542396"
20,"2012-07-29",25,4031.00,"542397"
21,"2012-07-30",33,1101.20,"542398"
22,"2012-07-31",89,676.00,"542399"
23,"2012-08-01",87,1376.00,"542400"
24,"2012-08-01",75,48.00,"542401"
25,"2012-08-02",65,1456.00,"542402"
26,"2012-08-05",63,2142.40,"542403"
27,"2012-08-06",85,538.60,"542404"
28,"2012-08-07",49,307.20,"542405"
29,"2012-08-08",80,420.00,"542406"
30,"2012-08-09",52,1200.80,"542407"
31,"2012-08-12",5,1488.80,"542408"
32,"2012-08-13",44,468.00,"542409"
33,"2012-08-14",5,613.20,"542410"
34,"2012-08-14",69,86.50,"542411"
35,"2012-08-15",69,155.40,"542412"
36,"2012-08-16",46,1414.80,"542413"
37,"2012-08-19",44,1452.00,"542414"
38,"2012-08-20",63,2179.20,"542415"
39,"2012-08-21",63,3016.00,"542416"
40,"2012-08-22",67,924.00,"542417"
41,"2012-08-23",66,89.00,"542418"
42,"2012-08-26",11,479.40,"542419"
43,"2012-08-27",15,2169.00,"542420"
44,"2012-08-27",61,552.80,"542421"
45,"2012-08-28",81,1296.00,"542422"
46,"2012-08-29",80,848.70,"542423"
47,"2012-08-30",65,1887.60,"542424"
48,"2012-09-02",85,121.60,"542425"
49,"2012-09-03",46,1050.60,"542426"
50,"2012-09-04",7,1420.00,"542427"
51,"2012-09-05",37,3127.00,"542428"
52,"2012-09-06",67,349.50,"542429"
53,"2012-09-09",49,608.00,"542430"
54,"2012-09-09",86,755.00,"542431"
55,"2012-09-10",76,2708.80,"542432"
56,"2012-09-11",30,1242.00,"542433"
57,"2012-09-12",80,954.40,"542434"
58,"2012-09-13",55,4157.00,"542435"
59,"2012-09-16",69,498.50,"542436"
60,"2012-09-17",48,424.00,"542437"
61,"2012-09-18",2,88.80,"542438"
62,"2012-09-19",37,1762.00,"542439"
63,"2012-09-20",77,336.00,"542440"
64,"2012-09-20",18,268.80,"542441"
65,"2012-09-23",86,1614.80,"542442"
66,"2012-09-24",63,182.40,"542443"
67,"2012-09-25",65,2327.00,"542444"
68,"2012-09-26",38,516.80,"542445"
69,"2012-09-27",65,2835.00,"542446"
70,"2012-09-30",48,288.00,"542447"
71,"2012-10-01",38,240.40,"542448"
72,"2012-10-02",80,1191.20,"542449"
73,"2012-10-03",87,516.00,"542450"
74,"2012-10-03",38,144.00,"542451"
75,"2012-10-04",58,112.00,"542452"
76,"2012-10-07",39,164.40,"542453"
77,"2012-10-08",71,6155.90,"542454"
78,"2012-10-09",39,1497.00,"542455"
79,"2012-10-10",8,982.00,"542456"
80,"2012-10-11",24,2262.50,"542457"
81,"2012-10-14",28,1168.00,"542458"
82,"2012-10-15",75,4819.40,"542459"
83,"2012-10-16",46,1940.00,"542460"
84,"2012-10-16",9,88.50,"542461"
85,"2012-10-17",51,2233.60,"542462"
86,"2012-10-18",87,954.00,"542463"
87,"2012-10-21",84,144.80,"542464"
88,"2012-10-22",37,2545.20,"542465"
89,"2012-10-23",60,316.80,"542466"
90,"2012-10-24",25,2467.00,"542467"
91,"2012-10-25",55,934.50,"542468"
92,"2012-10-28",51,3463.20,"542469"
93,"2012-10-29",9,2564.40,"542470"
94,"2012-10-29",73,412.00,"542471"
95,"2012-10-30",25,2300.80,"542472"
96,"2012-10-31",44,1586.00,"542473"
97,"2012-11-01",89,2856.00,"542474"
98,"2012-11-04",63,2924.80,"542475"
99,"2012-11-05",65,1731.20,"542476"
100,"2012-11-06",21,928.00,"542477"
101,"2012-11-07",86,396.00,"542478"
102,"2012-11-08",75,141.60,"542479"
103,"2012-11-11",41,713.40,"542480"
104,"2012-11-11",20,5677.60,"542481"
105,"2012-11-12",28,154.00,"542482"
106,"2012-11-13",59,10741.60,"542483"
107,"2012-11-14",58,568.80,"542484"
108,"2012-11-15",4,480.00,"542485"
109,"2012-11-18",86,1106.40,"542486"
110,"2012-11-19",46,1360.00,"542487"
111,"2012-11-20",41,452.00,"542488"
112,"2012-11-21",72,3654.40,"542489"
113,"2012-11-22",7,7390.20,"542490"
114,"2012-11-22",63,2273.60,"542491"
115,"2012-11-25",9,1549.60,"542492"
116,"2012-11-26",17,447.20,"542493"
117,"2012-11-26",19,950.00,"542494"
118,"2012-11-27",3,403.20,"542495"
119,"2012-11-28",29,136.00,"542496"
120,"2012-11-28",83,834.20,"542497"
121,"2012-11-29",20,1834.20,"542498"
122,"2012-12-02",75,2527.20,"542499"
123,"2012-12-03",14,1174.00,"542500"
124,"2012-12-03",41,91.20,"542501"
125,"2012-12-04",62,12281.20,"542502"
126,"2012-12-05",37,1708.00,"542503"
127,"2012-12-05",91,459.00,"542504"
128,"2012-12-06",36,338.00,"542505"
129,"2012-12-09",51,420.00,"542506"
130,"2012-12-09",72,1016.00,"542507"
131,"2012-12-10",24,103.20,"542508"
132,"2012-12-11",61,959.20,"542509"
133,"2012-12-12",37,1419.80,"542510"
134,"2012-12-12",46,112.00,"542511"
135,"2012-12-13",20,2900.00,"542512"
136,"2012-12-16",4,899.00,"542513"
137,"2012-12-16",5,2222.40,"542514"
138,"2012-12-17",75,864.00,"542515"
139,"2012-12-18",21,166.00,"542516"
140,"2012-12-18",70,1058.40,"542517"
141,"2012-12-19",72,1274.00,"542518"
142,"2012-12-20",10,1832.80,"542519"
143,"2012-12-23",20,2275.20,"542520"
144,"2012-12-23",17,86.40,"542521"
145,"2012-12-24",59,1440.00,"542522"
146,"2012-12-25",71,3302.60,"542523"
147,"2012-12-25",36,442.00,"542524"
148,"2012-12-26",35,2333.20,"542525"
149,"2012-12-27",25,1903.80,"542526"
150,"2012-12-27",60,843.20,"542527"
151,"2012-12-30",71,2736.00,"542528"
152,"2012-12-31",83,1765.60,"542529"
153,"2013-01-01",19,3063.00,"542530"
154,"2013-01-01",65,3868.60,"542531"
155,"2013-01-02",20,2713.50,"542532"
156,"2013-01-03",20,1005.90,"542533"
157,"2013-01-03",49,1675.00,"542534"
158,"2013-01-06",47,400.00,"542535"
159,"2013-01-07",62,2018.20,"542536"
160,"2013-01-07",56,1194.00,"542537"
161,"2013-01-08",23,1622.40,"542538"
162,"2013-01-09",54,319.20,"542539"
163,"2013-01-10",10,802.00,"542540"
164,"2013-01-10",10,1208.50,"542541"
165,"2013-01-13",87,372.00,"542542"
166,"2013-01-14",41,2123.20,"542543"
167,"2013-01-14",21,231.40,"542544"
168,"2013-01-15",36,102.40,"542545"
169,"2013-01-16",87,720.00,"542546"
170,"2013-01-16",73,11283.20,"542547"
171,"2013-01-17",63,1814.80,"542548"
172,"2013-01-20",68,2208.00,"542549"
173,"2013-01-21",88,1897.60,"542550"
174,"2013-01-21",61,1273.20,"542551"
175,"2013-01-22",27,49.80,"542552"
176,"2013-01-23",31,1020.00,"542553"
177,"2013-01-23",51,11493.20,"542554"
178,"2013-01-24",41,480.00,"542555"
179,"2013-01-27",29,338.20,"542556"
180,"2013-01-27",59,651.00,"542557"
181,"2013-01-28",66,192.00,"542558"
182,"2013-01-29",37,1748.50,"542559"
183,"2013-01-30",20,5796.00,"542560"
184,"2013-01-30",10,2523.00,"542561"
185,"2013-01-31",75,485.00,"542562"
186,"2013-02-03",60,851.20,"542563"
187,"2013-02-03",24,360.00,"542564"
188,"2013-02-04",16,631.60,"542565"
189,"2013-02-05",7,2210.80,"542566"
190,"2013-02-05",87,393.00,"542567"
